__time,/imu/angle,/imu/x,/imu/y,/imu/z
3479421.616543,223.300000000,11856.000000000,-10832.000000000,-3488.000000000
3479421.637005,236.600000000,13136.000000000,-5680.000000000,-1920.000000000
3479421.657447,11.300000000,14592.000000000,4224.000000000,1072.000000000
3479421.676514,19.500000000,14704.000000000,7776.000000000,2480.000000000
3479421.696328,23.400000000,14624.000000000,9632.000000000,3168.000000000
3479421.716315,37.700000000,13696.000000000,18640.000000000,5840.000000000
3479421.736391,46.900000000,11520.000000000,26896.000000000,8288.000000000
3479421.756650,48.000000000,11024.000000000,27680.000000000,8576.000000000
3479421.777446,53.300000000,8096.000000000,32352.000000000,10192.000000000
3479421.795975,60.400000000,2288.000000000,32752.000000000,11600.000000000
3479421.816240,60.300000000,2384.000000000,32752.000000000,11488.000000000
3479421.836204,63.800000000,-432.000000000,32752.000000000,11504.000000000
3479421.856153,68.600000000,-4368.000000000,32720.000000000,10976.000000000
