time [s],magx,magy,magz,step_count,
5.3607,4408,32736,nan,50,
5.37081,4393,32736,nan,50,
5.38081,2812,32736,nan,51,
5.39082,-1083,32736,nan,51,
5.40076,884,32736,nan,51,
5.41074,-297,32736,nan,51,
5.42085,85,32736,nan,51,
5.43072,-224,32736,nan,51,
5.44072,-86,32736,nan,51,
5.45067,-84,32736,nan,51,
5.46075,-135,32736,nan,51,
5.47081,-119,32736,nan,51,
5.48075,-88,32736,nan,51,
5.49083,-132,32736,nan,51,
5.5008,-123,32736,nan,51,
5.51071,-103,32736,nan,51,
5.52087,-123,32736,nan,51,
5.53073,-127,32736,nan,51,
5.54078,-115,32736,nan,51,
5.55072,-133,32736,nan,51,
5.56074,-126,32736,nan,51,
5.57095,-130,32736,nan,51,
5.58079,-886,32736,nan,52,
5.59093,-2981,32736,nan,52,
5.60074,-2067,32736,nan,52,
5.6107,-2624,32736,nan,52,
5.62087,-2353,32736,nan,52,
5.63083,-2495,32736,nan,52,
5.6408,-2447,32736,nan,52,
5.65081,-2456,32736,nan,52,
5.66075,-2460,32736,nan,52,
5.671,-2442,32736,nan,52,
5.68067,-2467,32736,nan,52,
5.69103,-2465,32736,nan,52,
5.70071,-2452,32736,nan,52,
5.71069,-2454,32736,nan,52,
5.72076,-2474,32736,nan,52,
5.73077,-2451,32736,nan,52,
5.74082,-2455,32736,nan,52,
5.75075,-2450,32736,nan,52,
5.76071,-2448,32736,nan,52,
5.77092,-2476,32736,nan,52,
5.78079,-3782,32736,nan,53,
5.79077,-5136,32736,nan,53,
5.80077,-3868,32736,nan,53,
5.81072,-4514,32736,nan,53,
5.82087,-4180,32736,nan,53,
5.83251,-4200,32736,nan,53,
5.84073,-4222,32736,nan,53,
5.85069,-4174,32736,nan,53,
5.8607,-4257,32736,nan,53,
5.8709,-4203,32736,nan,53,
5.8807,-4216,32736,nan,53,
5.89083,-4199,32736,nan,53,
5.90076,-4207,32736,nan,53,
5.91071,-4214,32736,nan,53,
5.92079,-4209,32736,nan,53,
5.93082,-4208,32736,nan,53,
5.94083,-4218,32736,nan,53,
5.9509,-4200,32736,nan,53,
5.96077,-4200,32736,nan,53,
5.97086,-4181,32736,nan,53,
5.9807,-6115,32736,nan,54,
5.99078,-9977,32032,nan,54,
6.00072,-7574,32736,nan,54,
6.01074,-6192,32736,nan,54,
6.02082,-6759,32736,nan,54,
6.03081,-6665,32736,nan,54,
6.04085,-6557,32736,nan,54,
6.05072,-6644,32736,nan,54,
6.0607,-6644,32736,nan,54,
6.07081,-6588,32736,nan,54,
6.08071,-6640,32736,nan,54,
6.09076,-6617,32736,nan,54,
6.10079,-6610,32736,nan,54,
6.11073,-6616,32736,nan,54,
6.12091,-6617,32736,nan,54,
6.13085,-6624,32736,nan,54,
6.14071,-6607,32736,nan,54,
6.15077,-6618,32736,nan,54,
6.16071,-6627,32736,nan,54,
6.17079,-6613,32736,nan,54,
6.18078,-7354,32736,nan,55,
6.19082,-11883,29362,nan,55,
6.20073,-10137,31790,nan,55,
6.2107,-11216,30029,nan,55,
6.22083,-10589,31088,nan,55,
6.23071,-11270,29890,nan,55,
6.2408,-10913,30422,nan,55,
6.25079,-11065,30223,nan,55,
6.26075,-11056,30216,nan,55,
6.27084,-11029,30268,nan,55,
6.28088,-11034,30259,nan,55,
6.29078,-11046,30241,nan,55,
6.30074,-11041,30255,nan,55,
6.31074,-11035,30243,nan,55,
6.32071,-11030,30265,nan,55,
6.3307,-11032,30258,nan,55,
6.34084,-11028,30255,nan,55,
6.35081,-11036,30258,nan,55,
6.36075,-11038,30260,nan,55,
6.37089,-11035,30244,nan,55,
6.3808,-12168,28717,nan,56,
6.39081,-13109,26843,nan,56,
6.40079,-12072,28878,nan,56,
6.41068,-12727,27545,nan,56,
6.42085,-12495,27952,nan,56,
6.43075,-12599,27791,nan,56,
6.44083,-12565,27861,nan,56,
6.45084,-12574,27861,nan,56,
6.46072,-12575,27833,nan,56,
6.47087,-12565,27847,nan,56,
6.48081,-12584,27852,nan,56,
6.49083,-12568,27846,nan,56,
6.50087,-12576,27845,nan,56,
6.51075,-12569,27856,nan,56,
6.5207,-12554,27853,nan,56,
6.53071,-12586,27849,nan,56,
6.54078,-12578,27850,nan,56,
6.55081,-12575,27851,nan,56,
6.56072,-12582,27849,nan,56,
6.57086,-12571,27852,nan,56,
6.58081,-13895,24593,nan,57,
6.59084,-15490,18933,nan,57,
6.60082,-14619,22327,nan,57,
6.61072,-13736,24979,nan,57,
6.62085,-13986,24135,nan,57,
6.63074,-13814,24601,nan,57,
6.64082,-13821,24624,nan,57,
6.65083,-13866,24470,nan,57,
6.66074,-13836,24549,nan,57,
6.67087,-13835,24579,nan,57,
6.68074,-13846,24544,nan,57,
6.69082,-13837,24540,nan,57,
6.70079,-13837,24537,nan,57,
6.7107,-13853,24535,nan,57,
6.72086,-13834,24533,nan,57,
6.73072,-13847,24547,nan,57,
6.74078,-13844,24557,nan,57,
6.75081,-13834,24546,nan,57,
6.76074,-13831,24558,nan,57,
6.77087,-13848,24559,nan,57,
6.78079,-15163,20436,nan,58,
6.7908,-16252,14415,nan,58,
6.8008,-15656,17899,nan,58,
6.81077,-15812,16341,nan,58,
6.8208,-15702,17406,nan,58,
6.83082,-15788,16385,nan,58,
6.84083,-15670,17159,nan,58,
6.85084,-15687,17025,nan,58,
6.86072,-15709,16891,nan,58,
6.87084,-15707,16968,nan,58,
6.88075,-15697,16953,nan,58,
6.89083,-15705,16932,nan,58,
6.90082,-15701,16944,nan,58,
6.91072,-15706,16955,nan,58,
6.92089,-15692,16952,nan,58,
6.93074,-15715,16954,nan,58,
6.94085,-15694,16944,nan,58,
6.95079,-15704,16961,nan,58,
6.96072,-15695,16955,nan,58,
6.97085,-15705,16945,nan,58,
6.98082,-16200,13791,nan,59,
6.99082,-16523,12487,nan,59,
7.00079,-16252,12471,nan,59,
7.01071,-16325,11102,nan,59,
7.02084,-16277,12055,nan,59,
7.03082,-16309,11538,nan,59,
7.04079,-16286,11781,nan,59,
7.05071,-16284,11668,nan,59,
7.06076,-16267,11705,nan,59,
7.07078,-16302,11726,nan,59,
7.08073,-16277,11696,nan,59,
7.09084,-16290,11706,nan,59,
7.1008,-16290,11715,nan,59,
7.11139,-16297,11701,nan,59,
7.12071,-16278,11692,nan,59,
7.1306,-16282,11712,nan,59,
7.14081,-16279,11688,nan,59,
7.1508,-16292,11703,nan,59,
7.16071,-16283,11703,nan,59,
7.17086,-16287,11696,nan,59,
7.18076,-16449,7749,nan,60,
7.19077,-16322,936,nan,60,
7.20081,-16434,4480,nan,60,
7.21074,-16298,2413,nan,60,
7.22086,-16308,2628,nan,60,
7.23072,-16322,2920,nan,60,
7.24084,-16324,2540,nan,60,
7.25081,-16325,2701,nan,60,
7.2607,-16335,2752,nan,60,
7.27078,-16323,2649,nan,60,
7.28074,-16315,2654,nan,60,
7.29084,-16328,2673,nan,60,
7.30085,-16325,2702,nan,60,
7.31076,-16328,2689,nan,60,
7.32088,-16321,2680,nan,60,
7.33083,-16328,2684,nan,60,
7.34082,-16313,2683,nan,60,
7.35078,-16306,2680,nan,60,
7.36078,-16310,2683,nan,60,
7.37086,-16317,2674,nan,60,
7.38068,-15893,-1924,nan,61,
7.39085,-16039,-1250,nan,61,
7.40081,-16052,-943,nan,61,
7.41072,-15989,-1503,nan,61,
7.42086,-16028,-1080,nan,61,
7.43085,-16002,-1153,nan,61,
7.44083,-16028,-1243,nan,61,
7.45081,-16020,-1163,nan,61,
7.46074,-16009,-1199,nan,61,
7.47086,-16021,-1208,nan,61,
7.48082,-16024,-1194,nan,61,
7.49084,-16014,-1189,nan,61,
7.5008,-16020,-1194,nan,61,
7.51076,-16013,-1200,nan,61,
7.52079,-16016,-1189,nan,61,
7.53074,-16023,-1198,nan,61,
7.54081,-16035,-1188,nan,61,
7.5508,-16028,-1194,nan,61,
7.56073,-16010,-1201,nan,61,
7.57088,-16027,-1193,nan,61,
7.58079,-15545,-7318,nan,62,
7.59072,-15596,-4631,nan,62,
7.60074,-15217,-6165,nan,62,
7.61072,-15380,-5307,nan,62,
7.62087,-15351,-5434,nan,62,
7.63081,-15314,-5529,nan,62,
7.64077,-15348,-5468,nan,62,
7.65083,-15347,-5406,nan,62,
7.66074,-15342,-5498,nan,62,
7.67086,-15333,-5471,nan,62,
7.68068,-15340,-5459,nan,62,
7.69087,-15341,-5464,nan,62,
7.70078,-15339,-5466,nan,62,
