time,magx,magy,step_count
7.45095,10767,-25996,98
7.46073,10728,-26023,98
7.47075,10711,-26074,98
7.4808,10735,-26007,98
7.49092,10736,-26064,98
7.50083,10715,-26034,98
7.51083,10748,-26025,98
7.52084,10731,-26024,98
7.53092,10729,-26034,98
7.54078,10734,-26034,98
7.55085,10515,-26184,97
7.56096,7752,-29130,97
7.57081,9384,-28105,97
7.58085,8610,-29058,97
7.59083,9464,-28032,97
7.60078,8608,-29089,97
7.61073,9182,-28429,97
7.62086,8822,-28829,97
7.63074,9007,-28683,97
7.64073,8954,-28681,97
7.65071,8906,-28720,97
7.66082,8953,-28688,97
7.6709,8940,-28703,97
7.68092,8937,-28730,97
7.69086,8951,-28705,97
7.70091,8936,-28699,97
7.71092,8939,-28701,97
7.72088,8962,-28694,97
7.73072,8929,-28692,97
7.74074,8930,-28695,97
7.75088,8672,-28741,96
7.76083,4597,-32018,96
7.77097,7275,-30027,96
7.78086,7213,-30163,96
7.7909,7027,-30354,96
7.80091,7586,-29904,96
7.81091,7386,-30047,96
7.82087,7349,-30083,96
7.83094,7482,-29978,96
7.84077,7438,-30006,96
7.85079,7420,-30031,96
7.86093,7440,-30002,96
7.87089,7436,-29998,96
7.88095,7417,-30010,96
7.89093,7430,-30021,96
7.9009,7437,-30007,96
7.91087,7443,-30004,96
7.92089,7421,-30004,96
7.93082,7426,-30008,96
7.94088,7423,-30013,96
7.95083,6336,-30564,95
7.9609,1661,-32272,95
7.97081,5258,-31182,95
7.98089,2640,-32272,95
7.99084,4783,-31705,95
8.00089,2977,-32272,95
8.01086,4575,-32022,95
8.0208,3447,-32272,95
8.03072,4128,-32180,95
8.04073,3857,-32244,95
8.05083,4000,-32218,95
8.06095,3936,-32240,95
8.0708,3946,-32235,95
8.08093,3959,-32228,95
8.09073,3946,-32238,95
8.10098,3938,-32223,95
8.11082,3955,-32235,95
8.1208,3952,-32231,95
8.13095,3959,-32240,95
8.1408,3958,-32226,95
8.15095,2526,-32236,94
8.16094,1498,-32270,94
8.17076,1945,-32271,94
8.18097,1791,-32271,94
8.19082,1883,-32272,94
8.2009,1701,-32272,94
8.21091,1606,-32272,94
8.2208,1839,-32272,94
8.23074,1663,-32272,94
8.2408,1787,-32272,94
8.25092,1719,-32272,94
8.26086,1724,-32272,94
8.27092,1753,-32272,94
8.28089,1749,-32272,94
8.29086,1747,-32272,94
8.30101,1728,-32272,94
8.31077,1744,-32272,94
8.32082,1749,-32272,94
8.33097,1768,-32272,94
8.3408,1745,-32272,94
8.35083,380,-32271,93
8.36095,-2636,-31299,93
8.37094,335,-32272,93
8.38097,-163,-32304,93
8.39076,-954,-32121,93
8.40095,-2044,-31616,93
8.41092,-1594,-31892,93
8.42073,-1847,-31736,93
8.43096,-1792,-31777,93
8.44087,-1725,-31808,93
8.45095,-1806,-31784,93
8.46081,-1802,-31765,93
8.47088,-1768,-31780,93
8.48098,-1770,-31782,93
8.49095,-1800,-31769,93
8.50095,-1780,-31784,93
8.51102,-1751,-31779,93
8.52094,-1779,-31778,93
8.53098,-1794,-31783,93
8.54097,-1793,-31782,93
8.55096,-3118,-30811,92
8.56079,-3834,-30231,92
8.5708,-3036,-30803,92
8.58086,-4116,-30366,92
8.59079,-3231,-30711,92
8.60082,-3705,-30372,92
8.61095,-3422,-30573,92
8.6208,-3527,-30486,92
8.63096,-3503,-30509,92
8.64082,-3500,-30530,92
8.65091,-3502,-30500,92
8.66069,-3526,-30502,92
8.67074,-3503,-30516,92
8.68088,-3508,-30514,92
8.69078,-3519,-30515,92
8.70095,-3501,-30510,92
8.71097,-3491,-30519,92
8.72092,-3510,-30517,92
8.73093,-3509,-30528,92
8.74098,-3504,-30507,92
8.75094,-5223,-29275,91
8.76095,-5663,-28839,91
8.77088,-5380,-28372,91
8.78097,-4943,-29463,91
8.79074,-5613,-28834,91
8.8007,-5182,-29239,91
8.811,-5365,-29054,91
8.82089,-5232,-29182,91
8.83092,-5352,-29087,91
8.84077,-5286,-29167,91
