direction,duty,advance_deg,sample_hz,duration_ms,index,t_ms,angle_turn16,unwrapped_angle,position_turns,rpm,aligned_rpm
1,100,30,250,600,119,476.000,43280,43280,0.000000,0,0
1,100,30,250,600,120,480.000,43280,43280,0.000000,0,0
1,100,30,250,600,121,484.000,43280,43280,0.000000,0,0
1,100,30,250,600,122,488.000,43280,43280,0.000000,0,0
1,100,30,250,600,123,492.000,43280,43280,0.000000,0,0
1,100,30,250,600,124,496.000,43280,43280,0.000000,0,0
1,100,30,250,600,125,500.000,43280,43280,0.000000,0,0
1,100,30,250,600,126,504.000,43280,43280,0.000000,0,0
1,100,30,250,600,127,508.000,43280,43280,0.000000,0,0
1,100,30,250,600,128,512.000,43280,43280,0.000000,0,0
1,100,30,250,600,129,516.000,43280,43280,0.000000,0,0
1,100,30,250,600,130,520.000,43280,43280,0.000000,0,0
1,100,30,250,600,131,524.000,43280,43280,0.000000,0,0
1,100,30,250,600,132,528.000,43280,43280,0.000000,0,0
1,100,30,250,600,133,532.000,43280,43280,0.000000,0,0
